cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,subcategory_id,category_id
2599,4140,Wright-Bryant,Reverse-engineered client-server extranet,19800.0,inf,successful,1460,AU,AUD,2020-06-20 05:00:00,2021-05-23 05:00:00,subcat1,cat1
1447,1321,Brown-Oliver,Synchronized cohesive encoding,8700.0,1577.0,failed,15,US,USD,2021-11-23 06:00:00,2021-12-06 06:00:00,subcat1,cat1
1437,4861,"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500.0,11970.0,successful,114,US,USD,2020-09-16 05:00:00,2021-07-10 05:00:00,subcat1,cat1
3209,4532,"Harris, Russell and Mitchell",User-centric cohesive policy,3600.0,10660.0,successful,266,US,USD,2021-01-21 06:00:00,2021-11-02 05:00:00,subcat1,cat1
1755,1377,Gonzalez-White,Open-architected disintermediate budgetary management,2400.0,8116.0,successful,114,US,USD,2020-12-21 06:00:00,2021-10-27 05:00:00,subcat1,cat1
1432,2712,Johnson Group,Vision-oriented interactive solution,7000.0,5176.0,failed,67,US,USD,2021-04-22 05:00:00,2022-01-08 06:00:00,subcat1,cat1
2986,3684,Manning-Hamilton,Vision-oriented scalable definition,inf,inf,successful,2043,US,USD,2020-12-29 06:00:00,2021-05-30 05:00:00,subcat1,cat1
1788,4939,"Hernandez, Norton and Kelley",Expanded eco-centric policy,inf,62820.0,canceled,1122,US,USD,2020-12-30 06:00:00,2021-08-18 05:00:00,subcat1,cat1
1621,3765,Odom Inc,Managed bottom-line architecture,1400.0,14560.0,successful,158,US,USD,2021-01-25 06:00:00,2021-05-25 05:00:00,subcat2,cat2
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2476.0,failed,24,US,USD,2021-10-21 05:00:00,2022-01-17 06:00:00,subcat2,cat2
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599.0,failed,15,US,USD,2021-01-08 06:00:00,2021-10-15 05:00:00,subcat2,cat2
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.0,11920.0,successful,111,IT,EUR,2021-03-17 05:00:00,2021-07-08 05:00:00,subcat2,cat2
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4250.0,successful,92,US,USD,2021-05-23 05:00:00,2021-09-23 05:00:00,subcat2,cat2
2389,2851,Casey-Kelly,Sharable holistic interface,7200.0,13656.0,successful,303,US,USD,2021-01-25 06:00:00,2022-01-30 06:00:00,subcat2,cat2
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37860.0,successful,411,US,USD,2020-11-01 05:00:00,2021-03-04 06:00:00,subcat2,cat2
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,inf,inf,failed,1482,AU,AUD,2020-08-23 05:00:00,2021-03-24 05:00:00,subcat2,cat2
2404,5501,Allen-Curtis,Phased human-resource core,inf,42600.0,canceled,532,US,USD,2020-09-13 05:00:00,2021-09-17 05:00:00,subcat2,cat2
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100.0,1.0,failed,1,US,USD,2021-01-21 06:00:00,2021-07-11 05:00:00,subcat2,cat2
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400.0,26910.0,canceled,379,AU,AUD,2020-11-24 06:00:00,2021-12-26 06:00:00,subcat2,cat2
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640.0,successful,41,US,USD,2020-12-28 06:00:00,2021-11-24 06:00:00,subcat2,cat2
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9140.0,successful,157,CH,CHF,2021-09-05 05:00:00,2021-12-16 06:00:00,subcat2,cat2
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3524.0,failed,86,CA,CAD,2020-04-16 05:00:00,2021-03-02 06:00:00,subcat2,cat2
611,3717,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600.0,8520.0,failed,243,US,USD,2020-11-07 06:00:00,2021-06-16 05:00:00,subcat2,cat2
777,5075,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800.0,968.0,failed,13,US,USD,2020-03-14 05:00:00,2021-03-13 06:00:00,subcat2,cat2
805,1243,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000.0,4256.0,successful,43,US,USD,2020-12-25 06:00:00,2021-08-29 05:00:00,subcat2,cat2
2159,1544,Sullivan Group,Open-source fresh-thinking policy,1400.0,14320.0,successful,165,US,USD,2021-06-01 05:00:00,2021-07-24 05:00:00,subcat2,cat2
894,3025,Fox-Quinn,Enterprise-wide reciprocal success,inf,inf,successful,5880,US,USD,2020-10-14 05:00:00,2021-02-28 06:00:00,subcat2,cat2
1760,3353,Gallegos-Cobb,Object-based directional function,39500.0,4324.0,failed,57,AU,AUD,2021-01-21 06:00:00,2021-12-01 06:00:00,subcat2,cat2
1955,5544,"Hill, Martin and Garcia",Sharable scalable core,8400.0,10730.0,successful,250,US,USD,2020-08-22 05:00:00,2021-03-01 06:00:00,subcat2,cat2
2635,6147,Robbins and Sons,Future-proofed directional synergy,100.0,3.0,failed,1,US,USD,2020-09-16 05:00:00,2021-02-27 06:00:00,subcat2,cat2
614,4529,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,inf,inf,successful,1697,US,USD,2020-11-03 06:00:00,2021-09-27 05:00:00,subcat2,cat2
1792,6084,Smith-Reid,Optimized actuating toolset,4100.0,959.0,failed,15,GB,GBP,2020-11-03 06:00:00,2021-10-17 05:00:00,subcat2,cat2
1204,5342,Allen-Jones,Centralized modular initiative,6300.0,9940.0,successful,261,US,USD,2021-07-15 05:00:00,2021-10-12 05:00:00,subcat2,cat2
669,4087,Mason-Smith,Reverse-engineered cohesive migration,inf,26300.0,failed,454,US,USD,2021-08-04 05:00:00,2021-09-13 05:00:00,subcat2,cat2
2741,4548,Lucas-Mullins,Business-focused dynamic instruction set,8100.0,1517.0,failed,29,DK,DKK,2020-05-27 05:00:00,2021-03-20 05:00:00,subcat2,cat2
641,4184,"Chase, Garcia and Johnson",Adaptive intangible database,3500.0,5036.0,successful,72,US,USD,2021-05-20 05:00:00,2021-06-21 05:00:00,subcat2,cat2
336,3510,Miller-Irwin,Secured maximized policy,2200.0,8696.0,successful,223,US,USD,2021-11-26 06:00:00,2021-12-02 06:00:00,subcat2,cat2
341,5842,"Young, Hart and Ryan",Decentralized demand-driven open system,5700.0,903.0,failed,17,US,USD,2021-07-29 05:00:00,2021-09-25 05:00:00,subcat2,cat2
3004,4270,Young PLC,Innovative well-modulated functionalities,inf,inf,successful,2441,US,USD,2020-09-01 05:00:00,2021-05-03 05:00:00,subcat2,cat2
1194,6201,Mcgee Group,Assimilated discrete algorithm,inf,inf,successful,1113,US,USD,2020-06-27 05:00:00,2021-05-04 05:00:00,subcat2,cat2
3176,1791,Jordan-Acosta,Operative uniform hub,inf,inf,successful,2283,US,USD,2020-02-27 06:00:00,2021-02-12 06:00:00,subcat2,cat2
642,3314,Nunez Inc,Customizable intangible capability,inf,inf,failed,1072,US,USD,2020-11-06 06:00:00,2021-07-21 05:00:00,subcat2,cat2
2005,2646,Young LLC,Universal maximized methodology,inf,inf,successful,2013,US,USD,2021-09-12 05:00:00,2021-10-05 05:00:00,subcat2,cat2
2612,2140,Lawrence Group,Automated actuating conglomeration,3700.0,13750.0,successful,191,US,USD,2021-04-23 05:00:00,2022-01-26 06:00:00,subcat2,cat2
807,3079,Gray-Davis,Re-contextualized local initiative,5200.0,8330.0,successful,139,US,USD,2021-03-12 06:00:00,2021-10-07 05:00:00,subcat2,cat2
2889,3841,Perry PLC,Mandatory uniform matrix,3400.0,12270.0,successful,131,US,USD,2020-06-23 05:00:00,2021-05-10 05:00:00,subcat2,cat2
2592,2749,Jones-Martin,Virtual systematic monitoring,8100.0,14080.0,successful,454,US,USD,2020-09-21 05:00:00,2021-02-11 06:00:00,subcat2,cat2
1237,5976,Stewart LLC,Secured asymmetric projection,inf,62820.0,failed,714,US,USD,2021-02-11 06:00:00,2021-05-09 05:00:00,subcat2,cat2
305,4666,Padilla-Porter,Innovative exuding matrix,inf,inf,successful,6286,US,USD,2020-12-31 06:00:00,2021-08-20 05:00:00,subcat2,cat2
2090,1568,"Turner, Young and Collins",Self-enabling clear-thinking framework,inf,60350.0,failed,575,US,USD,2020-10-28 05:00:00,2021-02-27 06:00:00,subcat2,cat2
3136,4807,Smith-Miller,De-engineered cohesive moderator,7500.0,6924.0,failed,62,IT,EUR,2021-04-08 05:00:00,2021-05-19 05:00:00,subcat2,cat2
1883,3455,"Sanchez, Bradley and Flores",Centralized motivating capacity,inf,31120.0,canceled,528,CH,CHF,2021-01-30 06:00:00,2021-10-19 05:00:00,subcat2,cat2
1898,4465,Marsh-Coleman,Exclusive asymmetric analyzer,inf,inf,successful,1773,US,USD,2020-09-25 05:00:00,2021-03-23 05:00:00,subcat2,cat2
1859,3815,Taylor Inc,Public-key 3rdgeneration system engine,2800.0,7744.0,successful,84,US,USD,2020-08-02 05:00:00,2021-05-24 05:00:00,subcat2,cat2
2215,3054,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,inf,inf,failed,1028,US,USD,2020-12-11 06:00:00,2021-05-26 05:00:00,subcat2,cat2
2470,5869,Anderson Group,Organic maximized database,6300.0,14090.0,successful,135,DK,DKK,2020-05-09 05:00:00,2021-05-01 05:00:00,subcat2,cat2
2918,5109,Blair Inc,Configurable bandwidth-monitored throughput,9900.0,1269.0,failed,26,CH,CHF,2021-02-05 06:00:00,2021-11-04 05:00:00,subcat2,cat2
304,3650,Johns PLC,Distributed high-level open architecture,6800.0,14860.0,successful,244,US,USD,2020-11-01 05:00:00,2021-06-12 05:00:00,subcat2,cat2
1654,4266,Martinez-Juarez,Realigned uniform knowledge user,31200.0,inf,successful,2725,US,USD,2021-06-07 05:00:00,2021-10-31 05:00:00,subcat2,cat2
913,4922,Clements Group,Assimilated actuating policy,9000.0,4896.0,canceled,94,US,USD,2021-02-10 06:00:00,2021-04-08 05:00:00,subcat2,cat2
3145,2642,Rowe-Wong,Robust hybrid budgetary management,700.0,6656.0,successful,130,US,USD,2021-07-16 05:00:00,2021-12-17 06:00:00,subcat2,cat2
653,3401,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,inf,inf,successful,2409,IT,EUR,2021-01-06 06:00:00,2021-10-27 05:00:00,subcat2,cat2
1758,2816,Valencia PLC,Extended asynchronous initiative,3400.0,6404.0,successful,160,GB,GBP,2021-05-13 05:00:00,2021-08-21 05:00:00,subcat2,cat2
507,1742,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,inf,inf,failed,4697,US,USD,2021-04-25 05:00:00,2021-10-10 05:00:00,subcat2,cat2
1016,2442,"Howell, Myers and Olson",Self-enabling mission-critical success,52600.0,31600.0,canceled,390,US,USD,2021-04-24 05:00:00,2021-08-05 05:00:00,subcat2,cat2
3182,5734,Murray Ltd,Decentralized 4thgeneration challenge,6000.0,5440.0,failed,77,GB,GBP,2020-11-19 06:00:00,2021-10-20 05:00:00,subcat2,cat2
2205,1992,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200.0,12320.0,successful,196,IT,EUR,2021-04-10 05:00:00,2021-04-20 05:00:00,subcat2,cat2
2285,6141,Evans-Jones,Switchable methodical superstructure,38500.0,inf,successful,1785,US,USD,2021-03-15 05:00:00,2021-09-22 05:00:00,subcat2,cat2
1780,1326,Dominguez-Owens,Open-architected systematic intranet,inf,5428.0,canceled,60,US,USD,2021-07-16 05:00:00,2021-08-17 05:00:00,subcat2,cat2
1069,1592,"Glass, Baker and Jones",Business-focused 24hour access,inf,inf,failed,1121,US,USD,2021-05-24 05:00:00,2021-12-31 06:00:00,subcat2,cat2
2505,3234,Logan-Miranda,Proactive systemic firmware,29600.0,inf,successful,1518,CA,CAD,2021-11-02 05:00:00,2021-11-10 06:00:00,subcat2,cat2
2782,3238,Mitchell-Lee,Customizable leadingedge model,2200.0,14420.0,successful,166,US,USD,2021-07-03 05:00:00,2021-07-22 05:00:00,subcat2,cat2
2464,2578,Shaffer-Mason,Managed bandwidth-monitored system engine,1100.0,8010.0,successful,148,US,USD,2021-09-27 05:00:00,2021-11-24 06:00:00,subcat2,cat2
864,1424,Murphy LLC,Customer-focused non-volatile framework,9400.0,968.0,failed,10,US,USD,2021-02-21 06:00:00,2021-06-16 05:00:00,subcat2,cat2
988,5685,"Vega, Chan and Carney",Down-sized systematic utilization,7400.0,10450.0,successful,138,US,USD,2021-04-18 05:00:00,2021-11-18 06:00:00,subcat2,cat2
1707,3275,Vance-Glover,Progressive coherent secured line,61200.0,61000.0,failed,859,CA,CAD,2021-02-27 06:00:00,2021-11-06 05:00:00,subcat2,cat2
415,3607,Welch Inc,Optional optimal website,6600.0,8270.0,successful,110,US,USD,2021-10-06 05:00:00,2021-12-18 06:00:00,subcat2,cat2
751,3440,Wallace LLC,Centralized regional function,100.0,1.0,failed,1,CH,CHF,2021-06-17 05:00:00,2021-07-16 05:00:00,subcat2,cat2
1698,1368,English-Mccullough,Business-focused discrete software,2600.0,6988.0,successful,218,US,USD,2021-05-31 05:00:00,2021-09-19 05:00:00,subcat2,cat2
2139,2987,Vincent PLC,Visionary 24hour analyzer,3200.0,2950.0,failed,36,DK,DKK,2021-08-13 05:00:00,2021-12-26 06:00:00,subcat2,cat2
2442,2431,Watson-Douglas,Centralized bandwidth-monitored leverage,9000.0,11720.0,successful,183,CA,CAD,2021-03-29 05:00:00,2021-11-27 06:00:00,subcat2,cat2
198,4547,"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500.0,12010.0,successful,279,GB,GBP,2021-02-13 06:00:00,2021-12-04 06:00:00,subcat2,cat2
2136,4732,Stewart and Sons,Distributed optimizing protocol,54000.0,inf,successful,2100,US,USD,2020-02-17 06:00:00,2021-01-07 06:00:00,subcat2,cat2
3200,5126,Dyer Inc,Secured well-modulated system engine,4100.0,14640.0,successful,252,US,USD,2021-01-01 06:00:00,2021-04-05 05:00:00,subcat2,cat2
1719,3329,"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100.0,1.0,failed,1,US,USD,2020-04-04 05:00:00,2021-03-11 06:00:00,subcat2,cat2
1372,3826,Mueller-Harmon,Implemented tangible approach,7900.0,5464.0,failed,67,US,USD,2020-12-25 06:00:00,2021-12-16 06:00:00,subcat2,cat2
1226,5696,Hogan Group,Versatile bottom-line definition,5600.0,8744.0,successful,159,US,USD,2021-05-01 05:00:00,2022-01-18 06:00:00,subcat2,cat2
289,2984,"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300.0,4884.0,successful,144,US,USD,2021-01-31 06:00:00,2021-06-07 05:00:00,subcat2,cat2
3165,5235,Peterson Ltd,Re-engineered 24hour matrix,14500.0,inf,successful,1559,US,USD,2020-04-26 05:00:00,2021-02-28 06:00:00,subcat2,cat2
2925,4401,Nunez-King,Phased clear-thinking policy,2200.0,8504.0,successful,207,GB,GBP,2020-04-09 05:00:00,2021-03-05 06:00:00,subcat2,cat2
2247,4113,Logan-Curtis,Enhanced optimal ability,inf,inf,failed,4405,US,USD,2020-11-21 06:00:00,2021-01-19 06:00:00,subcat2,cat2
2408,4762,"Chan, Washington and Callahan",Optional zero administration neural-net,7800.0,3144.0,failed,92,US,USD,2021-04-12 05:00:00,2021-07-02 05:00:00,subcat2,cat2
2632,3494,Ramirez LLC,Reduced reciprocal focus group,9800.0,11090.0,successful,241,US,USD,2020-12-09 06:00:00,2021-05-26 05:00:00,subcat2,cat2
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208.0,failed,44,US,USD,2021-08-13 05:00:00,2021-08-31 05:00:00,subcat6,cat2
1239,6181,Fitzgerald PLC,Realigned user-facing concept,inf,40000.0,failed,1000,US,USD,2021-06-25 05:00:00,2021-08-08 05:00:00,subcat6,cat2
253,5755,Douglas LLC,Reduced heuristic moratorium,900.0,9190.0,successful,164,US,USD,2021-10-06 05:00:00,2022-01-27 06:00:00,subcat6,cat2
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2460.0,failed,37,IT,EUR,2021-05-10 05:00:00,2021-08-03 05:00:00,subcat6,cat2
1090,2277,Parker LLC,Customizable intermediate extranet,inf,inf,failed,1467,US,USD,2021-12-02 06:00:00,2022-01-12 06:00:00,subcat6,cat2
2536,2974,Smith and Sons,Upgradable high-level solution,15800.0,57150.0,successful,524,US,USD,2021-02-02 06:00:00,2021-12-15 06:00:00,subcat6,cat2
3039,5066,Palmer Inc,Universal multi-state capability,63200.0,6040.0,failed,168,US,USD,2021-04-05 05:00:00,2021-07-05 05:00:00,subcat6,cat2
2685,5773,Ferguson PLC,Public-key intangible superstructure,6300.0,13220.0,successful,176,US,USD,2020-10-03 05:00:00,2021-02-19 06:00:00,subcat6,cat2
1401,4263,Richardson Inc,Assimilated fault-tolerant capacity,5000.0,8904.0,successful,106,US,USD,2021-02-21 06:00:00,2021-08-15 05:00:00,subcat6,cat2
810,2269,Webb-Smith,Advanced content-based installation,9300.0,4124.0,failed,37,US,USD,2021-09-04 05:00:00,2021-11-29 06:00:00,subcat6,cat2
179,2133,"Wang, Nguyen and Horton",Innovative holistic hub,6200.0,8650.0,successful,192,US,USD,2021-09-10 05:00:00,2021-11-05 05:00:00,subcat6,cat2
1659,1373,Fox-Williams,Profound system-worthy functionalities,inf,inf,successful,7295,US,USD,2021-12-15 06:00:00,2022-01-13 06:00:00,subcat6,cat2
2182,1979,West-Stevens,Reactive solution-oriented groupware,1200.0,13510.0,successful,122,US,USD,2021-03-30 05:00:00,2021-07-15 05:00:00,subcat6,cat2
985,2184,Ramos and Sons,Extended responsive Internet solution,100.0,1.0,failed,1,GB,GBP,2021-06-11 05:00:00,2021-06-28 05:00:00,subcat6,cat2
1519,3842,Rodriguez PLC,Grass-roots upward-trending installation,inf,inf,failed,1274,US,USD,2020-01-19 06:00:00,2021-03-14 06:00:00,subcat6,cat2
2004,3606,Bright and Sons,Object-based needs-based info-mediaries,6000.0,12460.0,successful,160,US,USD,2021-10-23 05:00:00,2021-11-20 06:00:00,subcat6,cat2
733,5139,"Craig, Ellis and Miller",Persevering 5thgeneration throughput,inf,inf,successful,2414,US,USD,2021-01-11 06:00:00,2021-06-17 05:00:00,subcat6,cat2
2394,6234,Santos Group,Secured dynamic capacity,5600.0,9500.0,successful,122,US,USD,2020-12-13 06:00:00,2021-04-30 05:00:00,subcat6,cat2
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,10296.0,successful,98,US,USD,2020-11-11 06:00:00,2021-11-06 05:00:00,subcat8,cat2
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,18830.0,failed,200,US,USD,2021-11-14 06:00:00,2022-01-02 06:00:00,subcat8,cat2
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430.0,successful,71,AU,AUD,2021-05-29 05:00:00,2021-08-20 05:00:00,subcat8,cat2
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,inf,inf,successful,1917,US,USD,2021-07-09 05:00:00,2021-10-15 05:00:00,subcat8,cat2
2465,5251,Avila-Jones,Implemented discrete secured line,5400.0,7320.0,successful,70,US,USD,2020-12-03 06:00:00,2021-11-25 06:00:00,subcat8,cat2
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13630.0,successful,195,US,USD,2020-09-08 05:00:00,2021-04-16 05:00:00,subcat8,cat2
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,inf,successful,3376,US,USD,2020-11-13 06:00:00,2021-07-23 05:00:00,subcat8,cat2
625,2260,Rodriguez-Brown,Devolved foreground benchmark,inf,inf,failed,1059,US,USD,2021-01-29 06:00:00,2021-06-20 05:00:00,subcat8,cat2
2915,3567,Hernandez Group,Ergonomic uniform open system,inf,40100.0,failed,955,DK,DKK,2020-05-16 05:00:00,2021-03-18 05:00:00,subcat8,cat2
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,inf,5530.0,failed,67,US,USD,2020-09-24 05:00:00,2021-07-27 05:00:00,subcat8,cat2
3195,3963,"Calhoun, Rogers and Long",Progressive discrete hub,6600.0,3012.0,failed,65,US,USD,2020-04-25 05:00:00,2021-03-22 05:00:00,subcat8,cat2
2691,2969,Morgan-Warren,Face-to-face encompassing info-mediaries,inf,inf,successful,4289,US,USD,2020-12-20 06:00:00,2021-07-30 05:00:00,subcat8,cat2
735,2761,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700.0,5330.0,successful,107,US,USD,2021-02-27 06:00:00,2021-10-02 05:00:00,subcat8,cat2
3168,1302,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400.0,2808.0,failed,32,US,USD,2021-01-12 06:00:00,2021-12-22 06:00:00,subcat8,cat2
2545,4328,Harris-Perry,User-centric 6thgeneration attitude,4100.0,3088.0,canceled,75,US,USD,2021-03-05 06:00:00,2021-07-26 05:00:00,subcat8,cat2
80,4594,Guzman Group,Ameliorated disintermediate utilization,inf,inf,failed,1257,US,USD,2021-02-10 06:00:00,2021-09-22 05:00:00,subcat8,cat2
